,date,time,line,start,stop,crowdedness,E,N,F,is_old_seat_empty,is_p_seat_empty,p_seat_empty_count,female,male,age,child,teenage,youth,middle_age,old_age,badge,pregnant,heavy,behavior1,behavior2,behavior3,cellphone,thinking,sleep,earphone,talking,calling,reading,makeup,eating,writing
109,2019. 8. 3.,18:19:00,1,종각,병점,N,0,1,0,1,0,,0,1,노년,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,멍,,,0,1,0,0,0,0,0,0,0,0
110,2019. 8. 3.,18:20:00,6,경복궁,불광,N,0,1,0,1,1,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
111,2019. 8. 3.,18:21:00,1,종각,병점,F,0,0,1,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
112,2019. 8. 3.,18:23:00,1,노량진,신길,N,0,1,0,0,1,2.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
113,2019. 8. 3.,18:28:00,1,종각,병점,N,0,1,0,1,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
114,2019. 8. 3.,19:03:00,1,종각,병점,N,0,1,0,1,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
115,2019. 8. 3.,17:04:00,1,종각,병점,N,0,1,0,1,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
116,2019. 8. 3.,19:29:00,1,종각,수원,N,0,1,0,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,대화,,,0,0,0,0,1,0,0,0,0,0
117,2019. 8. 3.,19:29:00,1,종각,용산,N,0,1,0,0,1,4.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
118,2019. 8. 3.,19:38:00,1,종각,수원,N,0,1,0,0,0,,0,1,청소년,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
119,2019. 8. 3.,19:48:00,1,종각,수원,F,0,0,1,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,잠,,,0,0,1,0,0,0,0,0,0,0
120,2019. 8. 3.,20:11:00,1,종각,수원,F,0,0,1,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
121,2019. 8. 3.,20:11:00,1,종각,수원,F,0,0,1,0,0,,0,1,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
122,2019. 8. 3.,20:28:00,1,종각,수원,F,0,0,1,0,0,,0,1,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,멍,,,0,1,0,0,0,0,0,0,0,0
123,2019. 8. 3.,20:29:00,1,종각,수원,F,0,0,1,0,0,,0,1,어린이,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
124,2019. 8. 3.,20:40:00,1,종각,수원,F,0,0,1,0,0,,0,1,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,대화,,,0,0,0,0,1,0,0,0,0,0
125,2019. 8. 3.,20:40:00,1,성균관대,수원,F,0,0,1,0,1,2.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
